>GEOMETRY   rect_prism; AX,AY,AZ= 0.7658 0.7658 0.7658
     24472 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.11150 -0.18645 -0.13505 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     163  1  6  23 1 1 1
     164  1  6  24 1 1 1
     165  1  6  25 1 1 1
     166  1  6  26 1 1 1
     167  1  6  27 1 1 1
     168  1  6  28 1 1 1
     169  1  7  1 1 1 1
     170  1  7  2 1 1 1
     171  1  7  3 1 1 1
     172  1  7  4 1 1 1
     173  1  7  5 1 1 1
     174  1  7  6 1 1 1
     175  1  7  7 1 1 1
     176  1  7  8 1 1 1
     177  1  7  9 1 1 1
     178  1  7  10 1 1 1
     179  1  7  11 1 1 1
     180  1  7  12 1 1 1
     181  1  7  13 1 1 1
     182  1  7  14 1 1 1
     183  1  7  15 1 1 1
     184  1  7  16 1 1 1
     185  1  7  17 1 1 1
     186  1  7  18 1 1 1
     187  1  7  19 1 1 1
     188  1  7  20 1 1 1
     189  1  7  21 1 1 1
     190  1  7  22 1 1 1
     191  1  7  23 1 1 1
     192  1  7  24 1 1 1
     193  1  7  25 1 1 1
     194  1  7  26 1 1 1
     195  1  7  27 1 1 1
     196  1  7  28 1 1 1
     197  1  8  1 1 1 1
     198  1  8  2 1 1 1
     199  1  8  3 1 1 1
     200  1  8  4 1 1 1
     201  1  8  5 1 1 1
     202  1  8  6 1 1 1
     203  1  8  7 1 1 1
     204  1  8  8 1 1 1
     205  1  8  9 1 1 1
     206  1  8  10 1 1 1
     207  1  8  11 1 1 1
     208  1  8  12 1 1 1
     209  1  8  13 1 1 1
     210  1  8  14 1 1 1
     211  1  8  15 1 1 1
     212  1  8  16 1 1 1
     213  1  8  17 1 1 1
     214  1  8  18 1 1 1
     215  1  8  19 1 1 1
     216  1  8  20 1 1 1
     217  1  8  21 1 1 1
     218  1  8  22 1 1 1
     219  1  8  23 1 1 1
     220  1  8  24 1 1 1
     221  1  8  25 1 1 1
     222  1  8  26 1 1 1
     223  1  8  27 1 1 1
     224  1  8  28 1 1 1
     225  1  9  1 1 1 1
     226  1  9  2 1 1 1
     227  1  9  3 1 1 1
     228  1  9  4 1 1 1
     229  1  9  5 1 1 1
     230  1  9  6 1 1 1
     231  1  9  7 1 1 1
     232  1  9  8 1 1 1
     233  1  9  9 1 1 1
     234  1  9  10 1 1 1
     235  1  9  11 1 1 1
     236  1  9  12 1 1 1
     237  1  9  13 1 1 1
     238  1  9  14 1 1 1
     239  1  9  15 1 1 1
     240  1  9  16 1 1 1
     241  1  9  17 1 1 1
     242  1  9  18 1 1 1
     243  1  9  19 1 1 1
     244  1  9  20 1 1 1
     245  1  9  21 1 1 1
     246  1  9  22 1 1 1
     247  1  9  23 1 1 1
     248  1  9  24 1 1 1
     249  1  9  25 1 1 1
     250  1  9  26 1 1 1
     251  1  9  27 1 1 1
     252  1  9  28 1 1 1
     253  1  10  1 1 1 1
     254  1  10  2 1 1 1
     255  1  10  3 1 1 1
     256  1  10  4 1 1 1
     257  1  10  5 1 1 1
     258  1  10  6 1 1 1
     259  1  10  7 1 1 1
     260  1  10  8 1 1 1
     261  1  10  9 1 1 1
     262  1  10  10 1 1 1
     263  1  10  11 1 1 1
     264  1  10  12 1 1 1
     265  1  10  13 1 1 1
     266  1  10  14 1 1 1
     267  1  10  15 1 1 1
     268  1  10  16 1 1 1
     269  1  10  17 1 1 1
     270  1  10  18 1 1 1
     271  1  10  19 1 1 1
     272  1  10  20 1 1 1
     273  1  10  21 1 1 1
     274  1  10  22 1 1 1
     275  1  10  23 1 1 1
     276  1  10  24 1 1 1
     277  1  10  25 1 1 1
     278  1  10  26 1 1 1
     279  1  10  27 1 1 1
     280  1  10  28 1 1 1
     281  1  11  1 1 1 1
     282  1  11  2 1 1 1
     283  1  11  3 1 1 1
     284  1  11  4 1 1 1
     285  1  11  5 1 1 1
     286  1  11  6 1 1 1
     287  1  11  7 1 1 1
     288  1  11  8 1 1 1
     289  1  11  9 1 1 1
     290  1  11  10 1 1 1
     291  1  11  11 1 1 1
     292  1  11  12 1 1 1
     293  1  11  13 1 1 1
     294  1  11  14 1 1 1
     295  1  11  15 1 1 1
     296  1  11  16 1 1 1
     297  1  11  17 1 1 1
     298  1  11  18 1 1 1
     299  1  11  19 1 1 1
     300  1  11  20 1 1 1
     301  1  11  21 1 1 1
     302  1  11  22 1 1 1
     303  1  11  23 1 1 1
     304  1  11  24 1 1 1
     305  1  11  25 1 1 1
     306  1  11  26 1 1 1
     307  1  11  27 1 1 1
     308  1  11  28 1 1 1
     309  1  12  1 1 1 1
     310  1  12  2 1 1 1
     311  1  12  3 1 1 1
     312  1  12  4 1 1 1
     313  1  12  5 1 1 1
     314  1  12  6 1 1 1
     315  1  12  7 1 1 1
     316  1  12  8 1 1 1
     317  1  12  9 1 1 1
     318  1  12  10 1 1 1
     319  1  12  11 1 1 1
     320  1  12  12 1 1 1
     321  1  12  13 1 1 1
     322  1  12  14 1 1 1
     323  1  12  15 1 1 1
     324  1  12  16 1 1 1
     325  1  12  17 1 1 1
     326  1  12  18 1 1 1
     327  1  12  19 1 1 1
     328  1  12  20 1 1 1
     329  1  12  21 1 1 1
     330  1  12  22 1 1 1
     331  1  12  23 1 1 1
     332  1  12  24 1 1 1
     333  1  12  25 1 1 1
     334  1  12  26 1 1 1
     335  1  12  27 1 1 1
     336  1  12  28 1 1 1
     337  1  13  1 1 1 1
     338  1  13  2 1 1 1
     339  1  13  3 1 1 1
     340  1  13  4 1 1 1
     341  1  13  5 1 1 1
     342  1  13  6 1 1 1
     343  1  13  7 1 1 1
     344  1  13  8 1 1 1
     345  1  13  9 1 1 1
     346  1  13  10 1 1 1
     347  1  13  11 1 1 1
     348  1  13  12 1 1 1
     349  1  13  13 1 1 1
     350  1  13  14 1 1 1
     351  1  13  15 1 1 1
     352  1  13  16 1 1 1
     353  1  13  17 1 1 1
     354  1  13  18 1 1 1
     355  1  13  19 1 1 1
     356  1  13  20 1 1 1
     357  1  13  21 1 1 1
     358  1  13  22 1 1 1
     359  1  13  23 1 1 1
     360  1  13  24 1 1 1
     361  1  13  25 1 1 1
     362  1  13  26 1 1 1
     363  1  13  27 1 1 1
     364  1  13  28 1 1 1
     365  1  14  1 1 1 1
     366  1  14  2 1 1 1
     367  1  14  3 1 1 1
     368  1  14  4 1 1 1
     369  1  14  5 1 1 1
     370  1  14  6 1 1 1
     371  1  14  7 1 1 1
     372  1  14  8 1 1 1
     373  1  14  9 1 1 1
     374  1  14  10 1 1 1
     375  1  14  11 1 1 1
     376  1  14  12 1 1 1
     377  1  14  13 1 1 1
     378  1  14  14 1 1 1
     379  1  14  15 1 1 1
     380  1  14  16 1 1 1
     381  1  14  17 1 1 1
     382  1  14  18 1 1 1
     383  1  14  19 1 1 1
     384  1  14  20 1 1 1
     385  1  14  21 1 1 1
     386  1  14  22 1 1 1
     387  1  14  23 1 1 1
     388  1  14  24 1 1 1
     389  1  14  25 1 1 1
     390  1  14  26 1 1 1
     391  1  14  27 1 1 1
     392  1  14  28 1 1 1
     393  1  15  1 1 1 1
     394  1  15  2 1 1 1
     395  1  15  3 1 1 1
     396  1  15  4 1 1 1
     397  1  15  5 1 1 1
     398  1  15  6 1 1 1
     399  1  15  7 1 1 1
     400  1  15  8 1 1 1
     401  1  15  9 1 1 1
     402  1  15  10 1 1 1
     403  1  15  11 1 1 1
     404  1  15  12 1 1 1
     405  1  15  13 1 1 1
     406  1  15  14 1 1 1
     407  1  15  15 1 1 1
     408  1  15  16 1 1 1
     409  1  15  17 1 1 1
     410  1  15  18 1 1 1
     411  1  15  19 1 1 1
     412  1  15  20 1 1 1
     413  1  15  21 1 1 1
     414  1  15  22 1 1 1
     415  1  15  23 1 1 1
     416  1  15  24 1 1 1
     417  1  15  25 1 1 1
     418  1  15  26 1 1 1
     419  1  15  27 1 1 1
     420  1  15  28 1 1 1
     421  1  16  1 1 1 1
     422  1  16  2 1 1 1
     423  1  16  3 1 1 1
     424  1  16  4 1 1 1
     425  1  16  5 1 1 1
     426  1  16  6 1 1 1
     427  1  16  7 1 1 1
     428  1  16  8 1 1 1
     429  1  16  9 1 1 1
     430  1  16  10 1 1 1
     431  1  16  11 1 1 1
     432  1  16  12 1 1 1
     433  1  16  13 1 1 1
     434  1  16  14 1 1 1
     435  1  16  15 1 1 1
     436  1  16  16 1 1 1
     437  1  16  17 1 1 1
     438  1  16  18 1 1 1
     439  1  16  19 1 1 1
     440  1  16  20 1 1 1
     441  1  16  21 1 1 1
     442  1  16  22 1 1 1
     443  1  16  23 1 1 1
     444  1  16  24 1 1 1
     445  1  16  25 1 1 1
     446  1  16  26 1 1 1
     447  1  16  27 1 1 1
     448  1  16  28 1 1 1
     449  1  17  1 1 1 1
     450  1  17  2 1 1 1
     451  1  17  3 1 1 1
     452  1  17  4 1 1 1
     453  1  17  5 1 1 1
     454  1  17  6 1 1 1
     455  1  17  7 1 1 1
     456  1  17  8 1 1 1
     457  1  17  9 1 1 1
     458  1  17  10 1 1 1
     459  1  17  11 1 1 1
     460  1  17  12 1 1 1
     461  1  17  13 1 1 1
     462  1  17  14 1 1 1
     463  1  17  15 1 1 1
     464  1  17  16 1 1 1
     465  1  17  17 1 1 1
     466  1  17  18 1 1 1
     467  1  17  19 1 1 1
     468  1  17  20 1 1 1
     469  1  17  21 1 1 1
     470  1  17  22 1 1 1
     471  1  17  23 1 1 1
     472  1  17  24 1 1 1
     473  1  17  25 1 1 1
     474  1  17  26 1 1 1
     475  1  17  27 1 1 1
     476  1  17  28 1 1 1
     477  1  18  1 1 1 1
     478  1  18  2 1 1 1
     479  1  18  3 1 1 1
     480  1  18  4 1 1 1
     481  1  18  5 1 1 1
     482  1  18  6 1 1 1
     483  1  18  7 1 1 1
     484  1  18  8 1 1 1
     485  1  18  9 1 1 1
     486  1  18  10 1 1 1
     487  1  18  11 1 1 1
     488  1  18  12 1 1 1
     489  1  18  13 1 1 1
     490  1  18  14 1 1 1
     491  1  18  15 1 1 1
     492  1  18  16 1 1 1
     493  1  18  17 1 1 1
     494  1  18  18 1 1 1
     495  1  18  19 1 1 1
     496  1  18  20 1 1 1
     497  1  18  21 1 1 1
     498  1  18  22 1 1 1
     499  1  18  23 1 1 1
     500  1  18  24 1 1 1
     501  1  18  25 1 1 1
     502  1  18  26 1 1 1
     503  1  18  27 1 1 1
     504  1  18  28 1 1 1
     505  1  19  1 1 1 1
     506  1  19  2 1 1 1
     507  1  19  3 1 1 1
     508  1  19  4 1 1 1
     509  1  19  5 1 1 1
     510  1  19  6 1 1 1
     511  1  19  7 1 1 1
     512  1  19  8 1 1 1
     513  1  19  9 1 1 1
     514  1  19  10 1 1 1
     515  1  19  11 1 1 1
     516  1  19  12 1 1 1
     517  1  19  13 1 1 1
     518  1  19  14 1 1 1
     519  1  19  15 1 1 1
     520  1  19  16 1 1 1
     521  1  19  17 1 1 1
     522  1  19  18 1 1 1
     523  1  19  19 1 1 1
     524  1  19  20 1 1 1
     525  1  19  21 1 1 1
     526  1  19  22 1 1 1
     527  1  19  23 1 1 1
     528  1  19  24 1 1 1
     529  1  19  25 1 1 1
     530  1  19  26 1 1 1
     531  1  19  27 1 1 1
     532  1  19  28 1 1 1
     533  1  20  1 1 1 1
     534  1  20  2 1 1 1
     535  1  20  3 1 1 1
     536  1  20  4 1 1 1
     537  1  20  5 1 1 1
     538  1  20  6 1 1 1
     539  1  20  7 1 1 1
     540  1  20  8 1 1 1
     541  1  20  9 1 1 1
     542  1  20  10 1 1 1
     543  1  20  11 1 1 1
     544  1  20  12 1 1 1
     545  1  20  13 1 1 1
     546  1  20  14 1 1 1
     547  1  20  15 1 1 1
     548  1  20  16 1 1 1
     549  1  20  17 1 1 1
     550  1  20  18 1 1 1
     551  1  20  19 1 1 1
     552  1  20  20 1 1 1
     553  1  20  21 1 1 1
     554  1  20  22 1 1 1
     555  1  20  23 1 1 1
     556  1  20  24 1 1 1
     557  1  20  25 1 1 1
     558  1  20  26 1 1 1
     559  1  20  27 1 1 1
     560  1  20  28 1 1 1
     561  1  21  1 1 1 1
     562  1  21  2 1 1 1
     563  1  21  3 1 1 1
     564  1  21  4 1 1 1
     565  1  21  5 1 1 1
     566  1  21  6 1 1 1
     567  1  21  7 1 1 1
     568  1  21  8 1 1 1
     569  1  21  9 1 1 1
     570  1  21  10 1 1 1
     571  1  21  11 1 1 1
     572  1  21  12 1 1 1
     573  1  21  13 1 1 1
     574  1  21  14 1 1 1
     575  1  21  15 1 1 1
     576  1  21  16 1 1 1
     577  1  21  17 1 1 1
     578  1  21  18 1 1 1
     579  1  21  19 1 1 1
     580  1  21  20 1 1 1
     581  1  21  21 1 1 1
     582  1  21  22 1 1 1
     583  1  21  23 1 1 1
     584  1  21  24 1 1 1
     585  1  21  25 1 1 1
     586  1  21  26 1 1 1
     587  1  21  27 1 1 1
     588  1  21  28 1 1 1
     589  1  22  1 1 1 1
     590  1  22  2 1 1 1
     591  1  22  3 1 1 1
     592  1  22  4 1 1 1
     593  1  22  5 1 1 1
     594  1  22  6 1 1 1
     595  1  22  7 1 1 1
     596  1  22  8 1 1 1
     597  1  22  9 1 1 1
     598  1  22  10 1 1 1
     599  1  22  11 1 1 1
     600  1  22  12 1 1 1
     601  1  22  13 1 1 1
     602  1  22  14 1 1 1
     603  1  22  15 1 1 1
     604  1  22  16 1 1 1
     605  1  22  17 1 1 1
     606  1  22  18 1 1 1
     607  1  22  19 1 1 1
     608  1  22  20 1 1 1
     609  1  22  21 1 1 1
     610  1  22  22 1 1 1
     611  1  22  23 1 1 1
     612  1  22  24 1 1 1
     613  1  22  25 1 1 1
     614  1  22  26 1 1 1
     615  1  22  27 1 1 1
     616  1  22  28 1 1 1
     617  1  23  1 1 1 1
     618  1  23  2 1 1 1
     619  1  23  3 1 1 1
     620  1  23  4 1 1 1
     621  1  23  5 1 1 1
     622  1  23  6 1 1 1
     623  1  23  7 1 1 1
     624  1  23  8 1 1 1
     625  1  23  9 1 1 1
     626  1  23  10 1 1 1
     627  1  23  11 1 1 1
     628  1  23  12 1 1 1
     629  1  23  13 1 1 1
     630  1  23  14 1 1 1
     631  1  23  15 1 1 1
     632  1  23  16 1 1 1
     633  1  23  17 1 1 1
     634  1  23  18 1 1 1
     635  1  23  19 1 1 1
     636  1  23  20 1 1 1
     637  1  23  21 1 1 1
     638  1  23  22 1 1 1
     639  1  23  23 1 1 1
     640  1  23  24 1 1 1
     641  1  23  25 1 1 1
     642  1  23  26 1 1 1
     643  1  23  27 1 1 1
     644  1  23  28 1 1 1
     645  1  24  1 1 1 1
     646  1  24  2 1 1 1
     647  1  24  3 1 1 1
     648  1  24  4 1 1 1
     649  1  24  5 1 1 1
     650  1  24  6 1 1 1
     651  1  24  7 1 1 1
     652  1  24  8 1 1 1
     653  1  24  9 1 1 1
     654  1  24  10 1 1 1
     655  1  24  11 1 1 1
     656  1  24  12 1 1 1
     657  1  24  13 1 1 1
     658  1  24  14 1 1 1
     659  1  24  15 1 1 1
     660  1  24  16 1 1 1
     661  1  24  17 1 1 1
     662  1  24  18 1 1 1
     663  1  24  19 1 1 1
     664  1  24  20 1 1 1
     665  1  24  21 1 1 1
     666  1  24  22 1 1 1
     667  1  24  23 1 1 1
     668  1  24  24 1 1 1
     669  1  24  25 1 1 1
     670  1  24  26 1 1 1
     671  1  24  27 1 1 1
     672  1  24  28 1 1 1
     673  1  25  1 1 1 1
     674  1  25  2 1 1 1
     675  1  25  3 1 1 1
     676  1  25  4 1 1 1
     677  1  25  5 1 1 1
     678  1  25  6 1 1 1
     679  1  25  7 1 1 1
     680  1  25  8 1 1 1
     681  1  25  9 1 1 1
     682  1  25  10 1 1 1
     683  1  25  11 1 1 1
     684  1  25  12 1 1 1
     685  1  25  13 1 1 1
     686  1  25  14 1 1 1
     687  1  25  15 1 1 1
     688  1  25  16 1 1 1
     689  1  25  17 1 1 1
     690  1  25  18 1 1 1
     691  1  25  19 1 1 1
     692  1  25  20 1 1 1
     693  1  25  21 1 1 1
     694  1  25  22 1 1 1
     695  1  25  23 1 1 1
     696  1  25  24 1 1 1
     697  1  25  25 1 1 1
     698  1  25  26 1 1 1
     699  1  25  27 1 1 1
     700  1  25  28 1 1 1
     701  1  26  1 1 1 1
     702  1  26  2 1 1 1
     703  1  26  3 1 1 1
     704  1  26  4 1 1 1
     705  1  26  5 1 1 1
     706  1  26  6 1 1 1
     707  1  26  7 1 1 1
     708  1  26  8 1 1 1
     709  1  26  9 1 1 1
     710  1  26  10 1 1 1
     711  1  26  11 1 1 1
     712  1  26  12 1 1 1
     713  1  26  13 1 1 1
     714  1  26  14 1 1 1
     715  1  26  15 1 1 1
     716  1  26  16 1 1 1
     717  1  26  17 1 1 1
     718  1  26  18 1 1 1
     719  1  26  19 1 1 1
     720  1  26  20 1 1 1
     721  1  26  21 1 1 1
     722  1  26  22 1 1 1
     723  1  26  23 1 1 1
     724  1  26  24 1 1 1
     725  1  26  25 1 1 1
     726  1  26  26 1 1 1
     727  1  26  27 1 1 1
     728  1  26  28 1 1 1
     729  1  27  1 1 1 1
     730  1  27  2 1 1 1
     731  1  27  3 1 1 1
     732  1  27  4 1 1 1
     733  1  27  5 1 1 1
     734  1  27  6 1 1 1
     735  1  27  7 1 1 1
     736  1  27  8 1 1 1
     737  1  27  9 1 1 1
     738  1  27  10 1 1 1
     739  1  27  11 1 1 1
     740  1  27  12 1 1 1
     741  1  27  13 1 1 1
     742  1  27  14 1 1 1
     743  1  27  15 1 1 1
     744  1  27  16 1 1 1
     745  1  27  17 1 1 1
     746  1  27  18 1 1 1
     747  1  27  19 1 1 1
     748  1  27  20 1 1 1
     749  1  27  21 1 1 1
     750  1  27  22 1 1 1
     751  1  27  23 1 1 1
     752  1  27  24 1 1 1
     753  1  27  25 1 1 1
     754  1  27  26 1 1 1
     755  1  27  27 1 1 1
     756  1  27  28 1 1 1
     757  1  28  1 1 1 1
     758  1  28  2 1 1 1
     759  1  28  3 1 1 1
     760  1  28  4 1 1 1
     761  1  28  5 1 1 1
     762  1  28  6 1 1 1
     763  1  28  7 1 1 1
     764  1  28  8 1 1 1
     765  1  28  9 1 1 1
     766  1  28  10 1 1 1
     767  1  28  11 1 1 1
     768  1  28  12 1 1 1
     769  1  28  13 1 1 1
     770  1  28  14 1 1 1
     771  1  28  15 1 1 1
     772  1  28  16 1 1 1
     773  1  28  17 1 1 1
     774  1  28  18 1 1 1
     775  1  28  19 1 1 1
     776  1  28  20 1 1 1
     777  1  28  21 1 1 1
     778  1  28  22 1 1 1
     779  1  28  23 1 1 1
     780  1  28  24 1 1 1
     781  1  28  25 1 1 1
     782  1  28  26 1 1 1
     783  1  28  27 1 1 1
     784  1  28  28 1 1 1
     785  1  29  1 1 1 1
     786  1  29  2 1 1 1
     787  1  29  3 1 1 1
     788  1  29  4 1 1 1
     789  1  29  5 1 1 1
     790  1  29  6 1 1 1
     791  1  29  7 1 1 1
     792  1  29  8 1 1 1
     793  1  29  9 1 1 1
     794  1  29  10 1 1 1
     795  1  29  11 1 1 1
     796  1  29  12 1 1 1
     797  1  29  13 1 1 1
     798  1  29  14 1 1 1
     799  1  29  15 1 1 1
     800  1  29  16 1 1 1
     801  1  29  17 1 1 1
     802  1  29  18 1 1 1
     803  1  29  19 1 1 1
     804  1  29  20 1 1 1
     805  1  29  21 1 1 1
     806  1  29  22 1 1 1
     807  1  29  23 1 1 1
     808  1  29  24 1 1 1
     809  1  29  25 1 1 1
     810  1  29  26 1 1 1
     811  1  29  27 1 1 1
     812  1  29  28 1 1 1
     813  1  30  1 1 1 1
     814  1  30  2 1 1 1
     815  1  30  3 1 1 1
     816  1  30  4 1 1 1
     817  1  30  5 1 1 1
     818  1  30  6 1 1 1
     819  1  30  7 1 1 1
     820  1  30  8 1 1 1
     821  1  30  9 1 1 1
     822  1  30  10 1 1 1
     823  1  30  11 1 1 1
     824  1  30  12 1 1 1
     825  1  30  13 1 1 1
     826  1  30  14 1 1 1
     827  1  30  15 1 1 1
     828  1  30  16 1 1 1
     829  1  30  17 1 1 1
     830  1  30  18 1 1 1
     831  1  30  19 1 1 1
     832  1  30  20 1 1 1
     833  1  30  21 1 1 1
     834  1  30  22 1 1 1
     835  1  30  23 1 1 1
     836  1  30  24 1 1 1
     837  1  30  25 1 1 1
     838  1  30  26 1 1 1
     839  1  30  27 1 1 1
     840  1  30  28 1 1 1
     841  1  31  1 1 1 1
     842  1  31  2 1 1 1
     843  1  31  3 1 1 1
     844  1  31  4 1 1 1
     845  1  31  5 1 1 1
     846  1  31  6 1 1 1
     847  1  31  7 1 1 1
     848  1  31  8 1 1 1
     849  1  31  9 1 1 1
     850  1  31  10 1 1 1
     851  1  31  11 1 1 1
     852  1  31  12 1 1 1
     853  1  31  13 1 1 1
     854  1  31  14 1 1 1
     855  1  31  15 1 1 1
     856  1  31  16 1 1 1
     857  1  31  17 1 1 1
     858  1  31  18 1 1 1
     859  1  31  19 1 1 1
     860  1  31  20 1 1 1
     861  1  31  21 1 1 1
     862  1  31  22 1 1 1
     863  1  31  23 1 1 1
     864  1  31  24 1 1 1
     865  1  31  25 1 1 1
     866  1  31  26 1 1 1
     867  1  31  27 1 1 1
     868  1  31  28 1 1 1
     869  1  32  1 1 1 1
     870  1  32  2 1 1 1
     871  1  32  3 1 1 1
     872  1  32  4 1 1 1
     873  1  32  5 1 1 1
     874  1  32  6 1 1 1
     875  1  32  7 1 1 1
     876  1  32  8 1 1 1
     877  1  32  9 1 1 1
     878  1  32  10 1 1 1
     879  1  32  11 1 1 1
     880  1  32  12 1 1 1
     881  1  32  13 1 1 1
     882  1  32  14 1 1 1
     883  1  32  15 1 1 1
     884  1  32  16 1 1 1
     885  1  32  17 1 1 1
     886  1  32  18 1 1 1
     887  1  32  19 1 1 1
     888  1  32  20 1 1 1
     889  1  32  21 1 1 1
     890  1  32  22 1 1 1
     891  1  32  23 1 1 1
     892  1  32  24 1 1 1
     893  1  32  25 1 1 1
     894  1  32  26 1 1 1
     895  1  32  27 1 1 1
     896  1  32  28 1 1 1
     897  1  33  1 1 1 1
     898  1  33  2 1 1 1
     899  1  33  3 1 1 1
     900  1  33  4 1 1 1
     901  1  33  5 1 1 1
     902  1  33  6 1 1 1
     903  1  33  7 1 1 1
